zip,county,n_orgs,n_human_services,total_revenue
83537,Latah County,13,2,25890.0
83801,Kootenai County,30,7,408508.0
83803,Kootenai County,7,1,0.0
83806,Latah County,1,0,0.0
83810,Kootenai County,7,1,127283.0
83814,Kootenai County,178,31,1065940111.0
83815,Kootenai County,158,24,31540359.0
83816,Kootenai County,112,12,18245296.0
83823,Latah County,21,6,38576786.0
83824,Latah County,1,1,0.0
83832,Latah County,11,1,122427.0
83833,Kootenai County,12,0,128268.0
83834,Latah County,1,0,0.0
83835,Kootenai County,176,26,89671827.0
83842,Kootenai County,1,0,0.0
83843,Latah County,229,25,178018354.0
83844,Latah County,26,1,78660167.0
83851,Kootenai County,1,1,0.0
83854,Kootenai County,179,30,23648238.0
83855,Latah County,19,3,572.0
83857,Latah County,6,0,264945.0
83858,Kootenai County,74,13,82048481.0
83861,Kootenai County,1,0,0.0
83869,Kootenai County,25,2,918634.0
83871,Latah County,21,4,1015528.0
83872,Latah County,8,2,1189587.0
83876,Kootenai County,5,1,0.0
83877,Kootenai County,52,4,8932112.0
99001,Spokane County,25,2,351891.0
99003,Spokane County,18,0,1695286.0
99004,Spokane County,98,10,21688409.0
99005,Spokane County,44,8,11734604.0
99006,Pend Oreille County,1,0,437343.0
99006,Spokane County,72,6,3263260.0
99006,Stevens County,3,1,0.0
99008,Lincoln County,3,0,622808.0
99009,Pend Oreille County,3,2,220444.0
99009,Spokane County,5,0,91589.0
99011,Spokane County,13,2,10480.0
99012,Spokane County,9,2,2432462.0
99013,Spokane County,1,0,0.0
99013,Stevens County,2,1,0.0
99016,Spokane County,60,12,7095648.0
99017,Whitman County,1,1,0.0
99018,Spokane County,2,0,0.0
99019,Spokane County,73,12,352374922.0
99020,Spokane County,1,0,0.0
99021,Spokane County,43,8,9434433.0
99022,Spokane County,36,8,906317.0
99023,Spokane County,4,0,0.0
99025,Spokane County,21,1,639648.0
99026,Spokane County,18,0,949097.0
99026,Stevens County,22,1,2236473.0
99027,Spokane County,14,1,71661.0
99029,Lincoln County,11,2,370401.0
99029,Spokane County,2,0,0.0
99030,Spokane County,8,2,311313.0
99031,Spokane County,12,0,126625.0
99032,Lincoln County,9,2,0.0
99033,Whitman County,9,2,401847.0
99034,Stevens County,4,0,98782.0
99036,Spokane County,6,0,227871.0
99037,Spokane County,71,9,261859006.0
99039,Spokane County,2,0,0.0
99040,Stevens County,4,2,1458868.0
99101,Stevens County,11,2,801774.0
99102,Whitman County,2,0,0.0
99103,Lincoln County,4,1,0.0
99109,Stevens County,57,6,27494271.0
99110,Spokane County,1,0,0.0
99110,Stevens County,7,1,275987.0
99111,Whitman County,61,24,8401350.0
99113,Whitman County,16,3,95756.0
99114,Stevens County,126,22,34054335.0
99117,Lincoln County,5,0,206554.0
99119,Pend Oreille County,9,2,356248.0
99122,Lincoln County,45,9,967550.0
99125,Whitman County,2,0,131800.0
99126,Stevens County,1,0,0.0
99129,Stevens County,2,0,195447.0
99130,Whitman County,7,0,0.0
99131,Stevens County,2,1,0.0
99133,Lincoln County,2,0,0.0
99134,Lincoln County,6,1,88886.0
99137,Stevens County,8,0,0.0
99139,Pend Oreille County,9,2,73148.0
99141,Stevens County,40,4,910849.0
99143,Whitman County,7,1,289946.0
99147,Lincoln County,1,1,0.0
99148,Stevens County,14,1,319088.0
99149,Whitman County,1,0,0.0
99153,Pend Oreille County,6,0,156051.0
99156,Pend Oreille County,80,11,6655061.0
99156,Spokane County,1,0,64803.0
99157,Stevens County,13,1,9468.0
99158,Whitman County,3,0,0.0
99159,Lincoln County,19,2,165265.0
99161,Whitman County,19,2,91268.0
99163,Whitman County,177,21,44106737.0
99164,Whitman County,16,0,120891534.0
99167,Stevens County,6,1,279455.0
99170,Spokane County,2,0,0.0
99170,Whitman County,9,2,32958.0
99171,Whitman County,15,0,204414.0
99173,Stevens County,8,1,0.0
99174,Whitman County,1,0,0.0
99176,Whitman County,1,0,0.0
99179,Whitman County,8,1,132062.0
99180,Pend Oreille County,7,1,664557.0
99181,Stevens County,12,6,589015.0
99185,Lincoln County,17,2,353850.0
99201,Spokane County,495,84,1364669388.0
99202,Spokane County,200,46,894430994.0
99203,Spokane County,132,19,10211624.0
99204,Spokane County,35,3,21032720.0
99205,Spokane County,150,18,240374239.0
99206,Spokane County,133,22,29030519.0
99207,Spokane County,100,18,133707589.0
99208,Spokane County,182,18,75512123.0
99209,Spokane County,62,10,16791170.0
99210,Spokane County,65,2,28497046.0
99211,Spokane County,12,3,602624.0
99212,Spokane County,101,16,31375989.0
99213,Spokane County,10,3,166895.0
99214,Spokane County,31,3,25424609.0
99215,Spokane County,7,2,117233048.0
99216,Spokane County,74,9,11796586.0
99217,Spokane County,59,3,7693208.0
99218,Spokane County,59,11,2424884.0
99219,Spokane County,9,2,881246.0
99220,Spokane County,51,7,46838909.0
99223,Spokane County,136,26,77744726.0
99224,Spokane County,105,8,159138326.0
99228,Spokane County,57,7,24170815.0
99251,Spokane County,4,0,146775261.0
99258,Spokane County,11,0,509594309.0
99260,Spokane County,5,1,544466.0
