zip,population,poverty_count,poverty_rate
83324,771.0,47.0,6.1
83349,1306.0,168.0,12.9
83352,3077.0,279.0,9.1
83537,975.0,88.0,9.0
83801,7256.0,797.0,11.0
83803,624.0,6.0,1.0
83806,178.0,38.0,21.3
83810,1361.0,171.0,12.6
83814,26077.0,2683.0,10.3
83815,39266.0,2328.0,5.9
83823,1546.0,70.0,4.5
83824,398.0,104.0,26.1
83832,2028.0,162.0,8.0
83833,1409.0,139.0,9.9
83834,194.0,0.0,0.0
83835,23431.0,1527.0,6.5
83842,103.0,4.0,3.9
83843,24290.0,4656.0,19.2
83844,29.0,0.0,0.0
83851,1897.0,264.0,13.9
83854,52384.0,7024.0,13.4
83855,1661.0,148.0,8.9
83857,1496.0,46.0,3.1
83858,19248.0,1437.0,7.5
83861,7068.0,1070.0,15.1
83869,5270.0,476.0,9.0
83871,2279.0,58.0,2.5
83872,893.0,158.0,17.7
83876,1467.0,249.0,17.0
99001,6793.0,1799.0,26.5
99003,4596.0,435.0,9.5
99004,21014.0,4548.0,21.6
99005,10661.0,551.0,5.2
99006,14603.0,1849.0,12.7
99008,341.0,107.0,31.4
99009,4525.0,704.0,15.6
99011,2378.0,130.0,5.5
99012,1084.0,86.0,7.9
99013,1652.0,271.0,16.4
99016,20147.0,2283.0,11.3
99017,208.0,79.0,38.0
99018,304.0,79.0,26.0
99019,12069.0,443.0,3.7
99020,15.0,0.0,0.0
99021,9213.0,550.0,6.0
99022,8902.0,625.0,7.0
99023,780.0,0.0,0.0
99025,5806.0,192.0,3.3
99026,9206.0,475.0,5.2
99027,5878.0,253.0,4.3
99029,1775.0,253.0,14.3
99030,610.0,41.0,6.7
99031,1434.0,224.0,15.6
99032,1022.0,132.0,12.9
99033,765.0,80.0,10.5
99034,105.0,79.0,75.2
99036,1588.0,63.0,4.0
99037,16597.0,1508.0,9.1
99039,163.0,15.0,9.2
99040,530.0,127.0,24.0
99101,1538.0,234.0,15.2
99102,448.0,31.0,6.9
99103,534.0,68.0,12.7
99109,5042.0,610.0,12.1
99110,1592.0,4.0,0.3
99111,3984.0,357.0,9.0
99113,535.0,5.0,0.9
99114,12618.0,1639.0,13.0
99117,578.0,16.0,2.8
99119,1458.0,227.0,15.6
99122,4015.0,334.0,8.3
99125,636.0,50.0,7.9
99126,926.0,347.0,37.5
99129,649.0,170.0,26.2
99130,847.0,170.0,20.1
99131,137.0,27.0,19.7
99133,1317.0,299.0,22.7
99134,608.0,98.0,16.1
99137,442.0,49.0,11.1
99139,970.0,28.0,2.9
99141,6246.0,775.0,12.4
99143,600.0,83.0,13.8
99147,185.0,11.0,5.9
99148,2381.0,138.0,5.8
99149,102.0,23.0,22.5
99153,428.0,20.0,4.7
99156,9152.0,1465.0,16.0
99157,711.0,57.0,8.0
99158,598.0,45.0,7.5
99159,1114.0,112.0,10.1
99161,1464.0,37.0,2.5
99163,27922.0,8455.0,30.3
99167,935.0,87.0,9.3
99170,1015.0,141.0,13.9
99171,991.0,118.0,11.9
99173,1765.0,360.0,20.4
99174,70.0,2.0,2.9
99176,132.0,0.0,0.0
99179,647.0,28.0,4.3
99180,613.0,48.0,7.8
99181,2004.0,356.0,17.8
99185,1499.0,253.0,16.9
99201,13636.0,4483.0,32.9
99202,17754.0,4431.0,25.0
99203,21803.0,1265.0,5.8
99204,7428.0,1400.0,18.8
99205,42962.0,4258.0,9.9
99206,41060.0,4689.0,11.4
99207,34438.0,7698.0,22.4
99208,58397.0,5011.0,8.6
99212,20925.0,2943.0,14.1
99216,27455.0,3282.0,12.0
99217,19769.0,2378.0,12.0
99218,16308.0,2065.0,12.7
99223,35450.0,2389.0,6.7
99224,23352.0,2398.0,10.3
99251,0.0,0.0,-666666666.0
99258,14.0,9.0,64.3
